title,book_cat,author,year,rating,total_ratings,description,book_link,review_link
Data Mining: Practical Machine Learning Tools and Techniques,Data Mining and Machine Learning,Ian H. Witten & Eibe Frank,2005,3.9,159,Offers a thorough grounding in machine learning concepts as well as practical advice on applying machine learning tools and techniques in real-world data mining situations.,ftp://ftp.ingv.it/pub/manuela.sbarra/Data%20Mining%20Practical%20Machine%20Learning%20Tools%20and%20Techniques%20-%20WEKA.pdf,http://www.amazon.com/gp/product/0123748569/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0123748569&linkCode=as2&tag=learnds-20&linkId=HVCR2HES3IEKZUFE
Data Mining with Rattle and R,Data Mining and Machine Learning,Graham Williams,2011,4.1,36,"This book aims to get you into data mining quickly. Load some data (e.g., from a database) into the Rattle toolkit and within minutes you will have the data visualised and some models built.",http://mineriaddatos.wikispaces.com/file/view/Data+Mining+With+Rattle+and+R_+The+Art+of+Excavating+Data+for+Knowledge+Discovery+-+Graham+Williams.pdf,http://www.amazon.com/gp/product/1441998896/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1441998896&linkCode=as2&tag=learnds-20&linkId=JZRBDDLH5ZBTNFDI
Deep Learning,Data Mining and Machine Learning,"Yoshua Bengio, Ian J. Goodfellow, & Aaron Courville",2015,0.0,0,The Deep Learning textbook is a resource intended to help students and practitioners enter the field of machine learning in general and deep learning in particular.,http://www.deeplearningbook.org/,None
Gaussian Processes for Machine Learning,Data Mining and Machine Learning,C. E. Rasmussen & C. K. I. Williams,2006,4.2,87,"A comprehensive and self-contained introduction to Gaussian processes, which provide a principled, practical, probabilistic approach to learning in kernel machines.",http://www.gaussianprocess.org/gpml/chapters/RW.pdf,http://www.amazon.com/gp/product/026218253X/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=026218253X&linkCode=as2&tag=learnds-20&linkId=RTS7ZDV3IX6QQFCC
"Information Theory, Inference, and Learning Algorithms",Data Mining and Machine Learning,David J.C. MacKay,2005,4.5,421,"""Essential reading for students of electrical engineering and computer science; also a great heads-up for mathematics students concerning the subtlety of many commonsense questions."" Choice",http://www.inference.phy.cam.ac.uk/mackay/itprnn/book.html,http://www.amazon.com/gp/product/0521642981/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0521642981&linkCode=as2&tag=learnds-20&linkId=TNNN63S5LE53P6HC
Introduction to Machine Learning,Data Mining and Machine Learning,Amnon Shashua,2008,0.0,0,None,http://arxiv.org/pdf/0904.3664.pdf,None
Introduction to Machine Learning,Data Mining and Machine Learning,Alex Smola & S.V.N. Vishwanathan,2008,0.0,0,None,http://alex.smola.org/drafts/thebook.pdf,None
KB – Neural Data Mining with Python Sources,Data Mining and Machine Learning,Roberto Bello,2013,0.0,0,None,http://www.freeopen.org/wp-content/uploads/2013/10/KB_neural_data_mining.pdf,None
Machine Learning,Data Mining and Machine Learning,Abdelhamid Mellouk & Abdennacer Chebira,,0.0,0,None,http://www.intechopen.com/books/machine_learning,None
"Machine Learning, Neural and Statistical Classification",Data Mining and Machine Learning,"D. Michie, D.J. Spiegelhalter, & C.C. Taylor",1999,2.9,1,None,http://www1.maths.leeds.ac.uk/~charles/statlog/,http://www.amazon.com/gp/product/8188689734/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=8188689734&linkCode=as2&tag=learnds-20&linkId=NZXTVLNVQBREPGQB
Machine Learning – The Complete Guide,Data Mining and Machine Learning,Wikipedia,,0.0,0,None,https://en.wikipedia.org/wiki/Book:Machine_Learning_%E2%80%93_The_Complete_Guide,None
Mining of Massive Datasets,Data Mining and Machine Learning,"Jure Leskovec, Anand Rajaraman, & Jeff Ullman",2014,4.3,24,"Essential reading for students and practitioners, this book focuses on practical algorithms used to solve key problems in data mining, with exercises suitable for students from the advanced undergraduate level and beyond.",http://www.mmds.org/,http://www.amazon.com/gp/product/1107077230/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1107077230&linkCode=as2&tag=learnds-20&linkId=Z7PSFPIELCNZC7B2
Modeling With Data,Data Mining and Machine Learning,Ben Klemens,2008,0.0,0,"Modeling with Data offers a useful blend of data-driven statistical methods and nuts-and-bolts guidance on implementing those methods. --Pat Hall, founder of Translation Creation",http://modelingwithdata.org/about_the_book.html,None
Neural Networks and Deep Learning,Data Mining and Machine Learning,Michael Nielsen,2015,0.0,0,"Neural networks and deep learning currently provide the best solutions to many problems in image recognition, speech recognition, and natural language processing. This book will teach you concepts behind neural networks and deep learning.",http://neuralnetworksanddeeplearning.com/,None
