title,book_cat,author,year,rating,total_ratings,description,book_link,review_link
A First Course in Linear Algebra,Math Topics,Robert A Beezer,2012,3.7,2,"This is an introduction to the basic concepts of linear algebra, along with an introduction to the techniques of formal mathematics. It has numerous worked examples, exercises and complete proofs, ideal for independent study.",http://linear.ups.edu/download.html,https://www.amazon.com/A-First-Course-Linear-Algebra/dp/0984417559/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=4199c74463af91431d3077e8e40cfbb6&language=en_US
Elementary Applied Topology,Math Topics,Robert Ghrist,2014,4.2,24,This text gives a brisk and engaging introduction to the mathematics behind the recently established field of Applied Topology.,https://www.math.upenn.edu/~ghrist/notes.html,https://www.amazon.com/Elementary-Applied-Topology-Robert-Ghrist/dp/1502880857/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=3bed0551bd4c590f6da69ad128375f54&language=en_US
Elementary Differential Equations,Math Topics,William F. Trench,2013,4.5,6,"This text has been written in clear and accurate language that students can read and comprehend. The author has minimized the number of explicitly state theorems and definitions, in favor of dealing with concepts in a more conversational manner.",http://ramanujan.math.trinity.edu/wtrench/texts/TRENCH_DIFF_EQNS_I.PDF,https://www.amazon.com/Elementary-Differential-Equations-William-Trench/dp/0534368417/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=94d79e5657e9052180a51201f7b18d9d&language=en_US
Introduction to Probability,Math Topics,Charles M. Grinstead & J. Laurie Snell,1997,4.3,13,"This book is designed for an introductory probability course at the university level for sophomores, juniors, and seniors in mathematics, physical and social sciences, engineering, and computer science.",http://www.dartmouth.edu/~chance/teaching_aids/books_articles/probability_book/amsbook.mac.pdf,https://www.amazon.com/Introduction-Probability-Charles-M-Grinstead/dp/0821807498/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=7f7e3f67ed0494708f12bb106b2544a7&language=en_US
Linear Algebra,Math Topics,"David Cherney, Tom Denton & Andrew Waldron",2013,0.0,0,None,https://www.math.ucdavis.edu/~linear/linear-guest.pdf,None
Linear Algebra: An Introduction to Mathematical Discourse,Math Topics,Wikibooks,,0.0,0,None,https://en.wikibooks.org/wiki/Linear_Algebra,None
"Linear Algebra, Theory And Applications",Math Topics,Kenneth Kuttler,2015,3.5,1,This book gives a self- contained treatment of linear algebra with many of its most important applications. It is very unusual if not unique in being an elementary book which does not neglect arbitrary fields of scalars and the proofs of the theorems,https://resources.saylor.org/wwwresources/archived/site/wp-content/uploads/2012/02/Linear-Algebra-Kuttler-1-30-11-OTC.pdf,https://www.amazon.com/Linear-Algebra-Applications-Roger-Baker/dp/9814590533/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=ced51bf1d981304c5c5e8312aee121d1&language=en_US
Ordinary Differential Equations,Math Topics,Wikibooks,,0.0,0,None,https://en.wikibooks.org/wiki/Ordinary_Differential_Equations,None
Probabilistic Models in the Study of Language,Math Topics,R Levy,2012,0.0,0,None,http://idiom.ucsd.edu/~rlevy/pmsl_textbook/text.html,None
Probability and Statistics Cookbook,Math Topics,Matthias Vallentin,,0.0,0,"The probability and statistics cookbook is a succinct representation of various topics in probability theory and statistics. It provides a comprehensive mathematical reference reduced to its essence, rather than aiming for elaborate explanations.",http://statistics.zone/,None
Cassandra Tutorial as a PDF,"SQL, NoSQL, and Databases",Tutorials Point,2015,0.0,0,None,http://www.tutorialspoint.com/cassandra/cassandra_tutorial.pdf,None
Extracting Data from NoSQL Databases,"SQL, NoSQL, and Databases",Petter Näsholm,2012,0.0,0,None,http://publications.lib.chalmers.se/records/fulltext/155048.pdf,None
Graph Databases,"SQL, NoSQL, and Databases","Ian Robinson, Jim Webber, & Emil Eifrem",2013,3.6,22,Get started with O'Reilly's Graph Databases and discover how graph databases can help you manage and query highly connected data.,https://neo4j.com/graph-databases-book/?ref=home,None
NoSQL Databases,"SQL, NoSQL, and Databases",Christof Strauch,,0.0,0,None,http://www.christof-strauch.de/nosqldbs.pdf,None
SQL for Web Nerds,"SQL, NoSQL, and Databases",Philip Greenspun,,0.0,0,None,http://philip.greenspun.com/sql/,None
SQL Tutorial as a PDF,"SQL, NoSQL, and Databases",Tutorials Point,,0.0,0,This tutorial will give you a quick start to SQL. It covers most of the topics required for a basic understanding of SQL and to get a feel of how it works.,http://www.tutorialspoint.com/sql/sql_tutorial.pdf,None
The Little MongoDB Book,"SQL, NoSQL, and Databases",Karl Seguin,2011,0.0,0,"MongoDB is an open source NoSQL database, easily scalable and high performance. It retains some similarities with relational databases which, in my opinion, makes it a great choice for anyone who is approaching the NoSQL world.",http://openmymind.net/mongodb.pdf,https://www.amazon.com/Little-MongoDB-Book-Karl-Seguin/dp/1493786601/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=3d03e66a8de3f8b4edf990d406845b64&language=en_US
A First Course in Design and Analysis of Experiments,Statistics,Gary W. Oehlert,2010,2.9,13,"Suitable for either a service course for non-statistics graduate students or for statistics majors. Unlike most texts for the one-term grad/upper level course on experimental design, this book offers a superb balance of both analysis and design.",http://users.stat.umn.edu/~gary/book/fcdae.pdf,http://www.amazon.com/gp/product/0716735105/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0716735105&linkCode=as2&tag=learnds-20&linkId=ANQ3W74HOM7ORCCY
An Introduction to Statistical Learning with Applications in R,Statistics,"Gareth James, Daniela Witten, Trevor Hastie, & Robert Tibshirani",2013,4.6,1833,"This book presents some of the most important modeling and prediction techniques, along with relevant applications. Topics include linear regression, classification, resampling methods, shrinkage approaches, tree-based methods, and much more.",http://www-bcf.usc.edu/~gareth/ISL/ISLR%20Fourth%20Printing.pdf,http://www.amazon.com/gp/product/1461471370/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1461471370&linkCode=as2&tag=learnds-20&linkId=YN3NQYMEUB3AEVP2
Artificial Intelligence: Foundations of Computational Agents,Statistics,David Poole & Alan Mackworth,2010,3.6,21,This is a textbook aimed at junior to senior undergraduate students and first-year graduate students. It presents artificial intelligence (AI) using a coherent framework to study the design of intelligent computational agents.,http://artint.info/html/ArtInt.html,https://www.amazon.com/Artificial-Intelligence-Foundations-Computational-Agents/dp/0521519004/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=16dee7825ba39f549126052f43186758&language=en_US
Intro Stat with Randomization and Simulation,Statistics,"David M Diez, Christopher D Barr, & Mine Çetinkaya-Rundel",2015,3.8,11,"The foundations for inference are provided using randomization and simulation methods. Once a solid foundation is formed, a transition is made to traditional approaches, where the normal and t distributions are used for hypothesis testing and...",https://www.openintro.org/book/isrs/,https://www.amazon.com/gp/product/1500576697/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=9bc91b7d0949c6a59324c77b4554e5a7&language=en_US
OpenIntro Statistics,Statistics,"David M Diez, Christopher D Barr, & Mine Çetinkaya-Rundel",2015,4.0,34,"Probability is optional, inference is key, and we feature real data whenever possible. Files for the entire book are freely available at openintro.org.",https://www.openintro.org/book/os/,https://www.amazon.com/OpenIntro-Statistics-Third-David-Diez/dp/194345003X/ref=as_li_ss_tl?ie=UTF8&qid=1436099927&sr=8-3&keywords=openintro&linkCode=ll1&tag=learnds-20&linkId=31bf1f23deae027ff1813e2b3
"The Elements of Statistical Learning: Data Mining, Inference, and Prediction",Statistics,"Trevor Hastie, Robert Tibshirani, & Jerome Friedman",2008,4.4,281,"This book describes the important ideas in a variety of fields such as medicine, biology, finance, and marketing in a common conceptual framework. While the approach is statistical, the emphasis is on concepts rather than mathematics.",http://statweb.stanford.edu/~tibs/ElemStatLearn/printings/ESLII_print10.pdf,http://www.amazon.com/gp/product/0387848576/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0387848576&linkCode=as2&tag=learnds-20&linkId=FHRX2YF7W2YWVMAG
Think Bayes: Bayesian Statistics Made Simple,Statistics,Allen B. Downey,2012,3.9,49,"Think Bayes is an introduction to Bayesian statistics using computational methods. The premise of this book, and the other books in the Think X series, is that if you know how to program, you can use that skill to learn other topics.",http://greenteapress.com/thinkbayes/,http://www.amazon.com/gp/product/1449370780/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1449370780&linkCode=as2&tag=learnds-20&linkId=5K7RONK3PVSKTLNV
Think Stats: Exploratory Data Analysis in Python,Statistics,Allen B. Downey,2014,3.6,348,"This concise introduction shows you how to perform statistical analysis computationally, rather than mathematically, with programs written in Python.",http://greenteapress.com/thinkstats2/thinkstats2.pdf,http://www.amazon.com/gp/product/1449307116/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1449307116&linkCode=as2&tag=learnds-20&linkId=ONIBWWBVJGWUHTCS
Pattern Recognition and Machine Learning,Artificial Intelligence,Christopher M. Bishop,2006,4.3,1648,This is the first textbook on pattern recognition to present the Bayesian viewpoint. The book presents approximate inference algorithms that permit fast approximate answers in situations where exact answers are not feasible.,https://www.microsoft.com/en-us/research/publication/pattern-recognition-machine-learning/,https://www.amazon.com/Pattern-Recognition-Learning-Information-Statistics/dp/0387310738/ref=as_li_ss_tl?crid=2NJSZHWKTOPV6&dchild=1&keywords=pattern+recognition+and+machine+learning&qid=1605550301&sp
